name,language,stars,issues,size,created_at,updated_at,has_issues,has_wiki,repo_age_days,days_since_update,issue_density,success
ohmyzsh,33,188279,566,13627,2009-08-28 18:15:37+00:00,2026-06-27 17:03:07+00:00,True,True,6146,0,0.04153213971235691,1
oegyscroll,17,20,0,403,2010-12-03 13:32:43+00:00,2025-02-06 16:02:01+00:00,True,True,5685,506,0.0,0
letta-chatbot-example,37,100,0,862,2025-01-09 19:03:58+00:00,2026-06-12 12:56:40+00:00,True,True,533,15,0.0,0
flask-github,28,20,1,124,2011-12-11 21:25:30+00:00,2025-02-06 16:02:01+00:00,True,True,5311,506,0.008,0
rcrunchbase,29,20,3,85,2014-06-06 21:51:04+00:00,2023-11-05 04:49:38+00:00,True,True,4403,965,0.03488372093023256,0
code996,37,1997,0,4119,2025-11-05 11:00:30+00:00,2026-06-26 12:29:20+00:00,True,False,234,1,0.0,1
jetzt,17,500,60,506,2014-03-05 18:24:18+00:00,2026-06-04 15:48:48+00:00,True,True,4496,23,0.11834319526627218,1
Equinox,35,2000,17,64018,2021-10-24 02:16:18+00:00,2026-06-27 11:54:48+00:00,True,True,1707,0,0.0002655461659819741,1
tipsy,17,1996,119,708,2008-06-08 18:48:00+00:00,2026-06-16 18:28:58+00:00,True,True,6592,10,0.16784203102961917,1
Chevron,17,20,0,1110,2014-02-15 09:23:32+00:00,2025-02-06 16:00:38+00:00,True,True,4515,506,0.0,0
PersistentSearch,16,1998,28,2134,2015-03-05 20:27:33+00:00,2026-06-12 16:10:16+00:00,False,True,4131,15,0.013114754098360656,1
JAGSExamples,29,100,0,6132,2012-02-10 00:38:04+00:00,2026-05-25 12:22:05+00:00,True,True,5251,33,0.0,0
DLNA-PLAYER,13,100,15,313,2015-02-13 00:22:07+00:00,2026-03-13 12:07:07+00:00,True,True,4152,106,0.04777070063694268,0
stack,37,500,12,164,2026-04-03 16:33:25+00:00,2026-06-26 10:51:12+00:00,True,False,85,1,0.07272727272727272,1
TokenCompleteTextView,16,20,3,290,2014-06-12 15:13:48+00:00,2020-02-24 04:13:27+00:00,False,True,4398,2315,0.010309278350515464,0
marl,4,1999,13,1549,2019-09-03 17:58:20+00:00,2026-06-17 23:19:32+00:00,True,True,2489,9,0.008387096774193548,1
TypeScript,37,109412,5051,2960523,2014-06-17 15:28:39+00:00,2026-06-27 16:51:12+00:00,True,True,4393,0,0.0017061168901181007,1
atlas_exporter,11,100,10,5413,2017-05-16 12:25:12+00:00,2026-06-01 09:10:31+00:00,True,False,3329,26,0.001847063169560399,0
fastnode2vec,28,100,2,42,2020-04-20 20:03:55+00:00,2026-02-23 19:49:20+00:00,True,True,2258,123,0.046511627906976744,0
openclaw,37,380728,6715,1614594,2025-11-24 10:16:47+00:00,2026-06-27 17:34:11+00:00,True,False,215,0,0.00415893769025669,1
JavaDesignPatterns,16,20,0,192,2010-11-24 20:11:59+00:00,2025-02-06 16:02:01+00:00,True,True,5693,506,0.0,0
skills,28,155823,987,3985,2025-09-22 15:53:31+00:00,2026-06-27 17:33:26+00:00,True,False,278,0,0.24761665830406424,1
fsharp-refactor,10,20,1,11544,2013-03-04 19:37:20+00:00,2019-10-22 05:33:59+00:00,True,True,4862,2440,8.661758336942399e-05,0
meetingmind,37,500,3,36591,2024-10-06 17:23:23+00:00,2026-06-26 10:45:58+00:00,True,True,629,1,8.198513336248361e-05,1
CashCoach,28,100,0,27728,2024-10-15 08:00:01+00:00,2026-06-21 07:00:57+00:00,True,True,620,6,0.0,0
LiveTool,17,20,0,2710,2011-03-05 16:08:35+00:00,2025-02-06 16:02:01+00:00,True,True,5593,506,0.0,0
PythonHacks,28,500,12,73174,2021-04-29 05:57:31+00:00,2026-06-13 01:21:03+00:00,True,True,1885,14,0.00016399043389135634,1
Book,17,500,12,6269,2017-03-09 00:11:33+00:00,2026-06-20 22:28:09+00:00,True,False,3397,6,0.0019138755980861245,1
fp-go,11,1996,6,18994,2023-07-05 14:18:19+00:00,2026-06-27 06:15:18+00:00,True,True,1088,0,0.000315872598052119,1
learn-wgpu-zh,31,500,4,688728,2022-09-04 12:36:34+00:00,2026-06-26 09:13:12+00:00,True,True,1392,1,5.807799584451939e-06,1
amm-arbitrageur,34,1999,24,371,2021-04-08 09:48:22+00:00,2026-06-08 17:49:22+00:00,True,True,1906,19,0.06451612903225806,1
es-google-drive-river,16,20,0,344,2013-05-04 19:44:57+00:00,2025-02-06 16:02:02+00:00,True,True,4801,506,0.0,0
python-dbase,28,20,2,3356,2013-04-01 22:24:39+00:00,2025-05-16 19:06:00+00:00,True,True,4834,406,0.0005957700327673518,0
truffle-plugin-verify,37,500,0,832,2019-03-20 10:36:28+00:00,2026-06-05 17:08:57+00:00,True,False,2656,22,0.0,1
nodejs-step-by-step-code,17,20,1,179,2012-04-08 19:01:57+00:00,2025-02-06 16:02:01+00:00,True,True,5192,506,0.005555555555555556,0
d3_js_intro,17,20,2,84,2012-02-02 19:13:09+00:00,2025-02-06 16:00:38+00:00,True,True,5258,506,0.023529411764705882,0
macOS-enterprise-privileges,24,1998,0,117557,2018-06-27 19:43:51+00:00,2026-06-27 06:17:56+00:00,True,True,2921,0,0.0,1
